seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
0,-8.164673979,113.7153331,-8.164645464,113.715298,-8.164702494,113.7153683
1,-8.16469962,113.7153186,-8.16468335,113.7152763,-8.164715891,113.715361
2,-8.16473098,113.7153067,-8.164715541,113.715264,-8.164746419,113.7153494
3,-8.164761831,113.7152948,-8.16474513,113.7152526,-8.164778532,113.715337
4,-8.164791651,113.7152834,-8.164776539,113.7152406,-8.164806763,113.7153262
5,-8.164823105,113.715275,-8.164815256,113.7152303,-8.164830954,113.7153198
6,-8.164863965,113.7152715,-8.164862984,113.7152261,-8.164864946,113.715317
7,-8.164919018,113.7152724,-8.164921024,113.715227,-8.164917011,113.7153178
8,-8.164989492,113.7152772,-8.164993291,113.7152319,-8.164985692,113.7153224
9,-8.165071509,113.7152836,-8.165074679,113.7152383,-8.165068339,113.7153289
10,-8.165149991,113.7152845,-8.165147338,113.7152391,-8.165152643,113.7153298
11,-8.165214983,113.7152724,-8.165200462,113.7152294,-8.165229505,113.7153154
12,-8.165262254,113.7152457,-8.165232206,113.7152119,-8.165292302,113.7152795
13,-8.16529134,113.7152069,-8.165250911,113.715187,-8.165331769,113.7152268
14,-8.165309243,113.7151587,-8.165265952,113.7151464,-8.165352533,113.715171
15,-8.165321032,113.7151055,-8.165276696,113.715098,-8.165365369,113.7151131
16,-8.165332307,113.7150528,-8.165288847,113.7150412,-8.165375766,113.7150645
17,-8.165344611,113.7150004,-8.165300598,113.7149911,-8.165388624,113.7150097
18,-8.165355906,113.7149449,-8.165311832,113.7149359,-8.16539998,113.7149539
19,-8.16536743,113.714886,-8.165323284,113.7148774,-8.165411575,113.7148947
20,-8.165380908,113.7148252,-8.165337316,113.714814,-8.1654245,113.7148363
21,-8.165401664,113.7147645,-8.165360507,113.7147462,-8.165442822,113.7147828
22,-8.165436409,113.7147081,-8.165401823,113.7146791,-8.165470996,113.7147371
23,-8.165486464,113.7146612,-8.165460244,113.7146243,-8.165512685,113.7146981
