seg_index,lat_center,lon_center,lat_inner,lon_inner,lat_outer,lon_outer
0,-8.895747665,116.3033993,-8.895684762,116.3033854,-8.895810568,116.3034131
1,-8.895759276,116.303349,-8.895696649,116.3033339,-8.895821903,116.303364
2,-8.895772519,116.3032958,-8.89571013,116.3032797,-8.895834909,116.3033118
3,-8.895787258,116.3032398,-8.895725068,116.3032231,-8.895849447,116.3032566
4,-8.895803352,116.3031814,-8.895741328,116.303164,-8.895865376,116.3031987
5,-8.895820664,116.3031205,-8.895758774,116.3031026,-8.895882554,116.3031384
6,-8.895839054,116.3030575,-8.895777268,116.3030392,-8.895900839,116.3030757
7,-8.895858383,116.3029924,-8.895796676,116.3029739,-8.895920091,116.3030109
8,-8.895878513,116.3029255,-8.895816859,116.3029069,-8.895940168,116.3029442
9,-8.895899306,116.302857,-8.895837681,116.3028383,-8.89596093,116.3028758
10,-8.895920621,116.302787,-8.895859005,116.3027682,-8.895982237,116.3028058
11,-8.895942321,116.3027158,-8.895880694,116.302697,-8.896003948,116.3027345
12,-8.895964267,116.3026434,-8.895902608,116.3026247,-8.896025925,116.302662
13,-8.895986319,116.3025701,-8.895924611,116.3025516,-8.896048027,116.3025886
14,-8.89600834,116.302496,-8.895946565,116.3024778,-8.896070115,116.3025143
15,-8.896031268,116.3024216,-8.895969927,116.3024019,-8.89609261,116.3024412
16,-8.896055561,116.3023466,-8.895994347,116.3023266,-8.896116775,116.3023667
17,-8.896080345,116.3022705,-8.896019064,116.3022507,-8.896141625,116.3022904
18,-8.896104988,116.3021931,-8.896043513,116.3021739,-8.896166463,116.3022123
19,-8.896128548,116.3021149,-8.896066678,116.302097,-8.896190418,116.3021328
20,-8.896150117,116.3020366,-8.896087797,116.3020204,-8.896212438,116.3020529
21,-8.896169068,116.3019589,-8.896106237,116.3019447,-8.896231898,116.3019731
22,-8.896184873,116.3018826,-8.896121563,116.3018707,-8.896248182,116.3018944
23,-8.896197217,116.3018084,-8.896133465,116.3017992,-8.89626097,116.3018176
24,-8.896205612,116.3017371,-8.896141456,116.3017313,-8.896269768,116.3017429
25,-8.896209585,116.3016696,-8.896145192,116.3016679,-8.896273978,116.3016712
26,-8.896208608,116.3016063,-8.896144309,116.3016101,-8.896272907,116.3016024
27,-8.896202048,116.3015478,-8.896138536,116.3015585,-8.896265561,116.3015371
28,-8.896189457,116.3014945,-8.896127929,116.3015135,-8.896250985,116.3014754
29,-8.896170647,116.3014467,-8.896112796,116.3014751,-8.896228499,116.3014184
30,-8.896145871,116.3014046,-8.896093101,116.3014416,-8.896198641,116.3013677
31,-8.896115309,116.3013679,-8.896069495,116.3014132,-8.896161124,116.3013227
32,-8.896078918,116.3013372,-8.896041951,116.30139,-8.896115884,116.3012845
33,-8.896036577,116.3013128,-8.896009169,116.3013711,-8.896063985,116.3012545
34,-8.895988607,116.3012939,-8.895968605,116.3013551,-8.89600861,116.3012326
35,-8.895935556,116.3012797,-8.895922277,116.3013428,-8.895948835,116.3012167
36,-8.895877842,116.3012703,-8.895870057,116.3013342,-8.895885628,116.3012063
37,-8.895816031,116.3012654,-8.895813604,116.3013298,-8.895818458,116.301201
38,-8.89575076,116.3012652,-8.895752605,116.3013295,-8.895748915,116.3012008
39,-8.895682505,116.301269,-8.895687858,116.3013332,-8.895677153,116.3012048
40,-8.895611715,116.3012763,-8.895619542,116.3013403,-8.895603887,116.3012124
41,-8.895539357,116.3012859,-8.895548412,116.3013497,-8.895530302,116.3012221
42,-8.895466241,116.3012968,-8.895476174,116.3013604,-8.895456308,116.3012332
43,-8.895392772,116.3013085,-8.895403182,116.3013721,-8.895382361,116.301245
44,-8.895319195,116.3013204,-8.895329199,116.301384,-8.895309191,116.3012567
45,-8.895245856,116.3013313,-8.895254846,116.3013951,-8.895236867,116.3012675
46,-8.895173165,116.3013397,-8.895178879,116.3014038,-8.895167451,116.3012755
47,-8.895101154,116.3013439,-8.895103062,116.3014083,-8.895099246,116.3012796
48,-8.89503029,116.3013439,-8.895028333,116.3014083,-8.895032247,116.3012796
49,-8.894961565,116.3013398,-8.894955622,116.3014039,-8.894967507,116.3012756
50,-8.894896179,116.3013311,-8.894885011,116.3013945,-8.894907347,116.3012676
51,-8.894835521,116.3013175,-8.894818496,116.3013797,-8.894852546,116.3012554
52,-8.894780376,116.3012997,-8.894757547,116.3013599,-8.894803204,116.3012394
53,-8.894731425,116.3012778,-8.894701569,116.3013349,-8.894761282,116.3012208
54,-8.894689713,116.3012517,-8.894651,116.3013032,-8.894728427,116.3012002
55,-8.894655929,116.3012212,-8.894608443,116.3012648,-8.894703415,116.3011777
56,-8.894630467,116.301187,-8.894574956,116.3012197,-8.894685978,116.3011543
57,-8.894613472,116.3011495,-8.894552267,116.3011696,-8.894674677,116.3011294
58,-8.894605331,116.301109,-8.894541138,116.3011143,-8.894669525,116.3011037
59,-8.894606685,116.3010658,-8.894542889,116.3010569,-8.89467048,116.3010747
60,-8.894617302,116.3010204,-8.894556028,116.3010005,-8.894678577,116.3010403
61,-8.894636631,116.3009737,-8.894579066,116.3009448,-8.894694197,116.3010026
62,-8.894664248,116.3009265,-8.894610703,116.3008907,-8.894717794,116.3009623
63,-8.894699791,116.3008794,-8.894650466,116.300838,-8.894749117,116.3009208
64,-8.894742818,116.3008329,-8.894697545,116.300787,-8.89478809,116.3008787
65,-8.89479269,116.3007878,-8.894751546,116.3007382,-8.894833835,116.3008374
66,-8.894848831,116.3007447,-8.894811507,116.3006922,-8.894886155,116.3007972
67,-8.894910343,116.3007042,-8.894876757,116.3006492,-8.894943928,116.3007591
68,-8.894976395,116.3006668,-8.894946482,116.3006097,-8.895006309,116.3007238
69,-8.895045956,116.3006329,-8.895019481,116.3005742,-8.895072431,116.3006916
70,-8.895118045,116.3006028,-8.895094823,116.3005427,-8.895141267,116.3006628
71,-8.895191877,116.3005767,-8.895172266,116.3005153,-8.895211489,116.3006381
72,-8.895266269,116.3005551,-8.89525,116.3004928,-8.895282539,116.3006174
73,-8.895339894,116.3005377,-8.895326514,116.3004747,-8.895353274,116.3006007
74,-8.895412458,116.3005239,-8.895401861,116.3004604,-8.895423055,116.3005874
75,-8.895484173,116.3005135,-8.89547626,116.3004495,-8.895492087,116.3005774
76,-8.895554757,116.3005062,-8.89554953,116.300442,-8.895559984,116.3005704
77,-8.895624036,116.3005019,-8.895621273,116.3004375,-8.895626799,116.3005662
78,-8.895692515,116.3005005,-8.895692593,116.300436,-8.895692436,116.3005649
79,-8.895760925,116.3005023,-8.895764348,116.300438,-8.895757502,116.3005666
80,-8.895829307,116.3005075,-8.89583555,116.3004434,-8.895823064,116.3005716
81,-8.895897542,116.3005158,-8.895906903,116.3004521,-8.895888182,116.3005795
