t-long,t-lat
116.303435,-8.895735118
116.3033791,-8.895751108
116.3033229,-8.895766736
116.3032606,-8.89578114
116.3032044,-8.895796245
116.3031441,-8.895813952
116.3030839,-8.895829274
116.3030254,-8.895848218
116.3029561,-8.895874419
116.3028929,-8.895895602
116.3028222,-8.895918316
116.3027539,-8.895935046
116.3026784,-8.895956521
116.3026045,-8.895976573
116.3025402,-8.89599227
116.3024615,-8.896013403
116.3023876,-8.896034784
116.3023221,-8.896055185
116.3022533,-8.896071186
116.3021628,-8.896094129
116.3020779,-8.896114425
116.3019948,-8.896135662
116.3019272,-8.896158146
116.3018591,-8.896178548
116.3017893,-8.896197716
116.3017235,-8.89621327
116.3016425,-8.896229724
116.3015696,-8.896240183
116.3015069,-8.896246342
116.3014546,-8.896234102
116.301404,-8.896214072
116.3013362,-8.896181376
116.30129,-8.896133428
116.3012688,-8.896078965
116.3012568,-8.896015403
116.3012516,-8.895959095
116.3012535,-8.895900053
116.3012621,-8.895836991
116.3012736,-8.895769002
116.3012835,-8.895701116
116.3012943,-8.895631651
116.3013014,-8.895558343
116.3013116,-8.895486089
116.3013129,-8.895421303
116.3013166,-8.89536201
116.3013205,-8.895295146
116.30133,-8.895222893
116.3013376,-8.895152602
116.3013409,-8.895084564
116.3013423,-8.895021366
116.3013449,-8.894954877
116.3013414,-8.894890177
116.3013349,-8.894825552
116.3013202,-8.894765271
116.3013022,-8.894703993
116.3012729,-8.894656536
116.3012461,-8.894614631
116.3012103,-8.894572706
116.3011617,-8.894544737
116.3011039,-8.89453504
116.3010501,-8.894539602
116.3009878,-8.894556497
116.3009318,-8.894591287
116.3008793,-8.894647592
116.3008324,-8.894709333
116.3007796,-8.894772029
116.3007426,-8.894839529
116.3007074,-8.894903036
116.3006631,-8.894981034
116.3006255,-8.895052003
116.3006065,-8.895118085
116.3005861,-8.8951859
116.3005653,-8.895249272
116.3005461,-8.895320384
116.3005328,-8.895384121
116.3005205,-8.895446141
116.3005145,-8.89551768
116.3005044,-8.89558397
116.3005004,-8.895656572
116.3005007,-8.895723627
116.3005031,-8.895799896
116.3005072,-8.895869852
116.3005205,-8.895936847
116.3005328,-8.896006899
116.3005477,-8.896068566
116.3005654,-8.896134908
116.3005884,-8.89619719
116.3006083,-8.896262921
116.3006324,-8.8963267
116.3006594,-8.896410006
116.3006902,-8.896472895
116.300731,-8.896538613
116.300766,-8.896602198
116.3008134,-8.896676021
116.3008588,-8.896740003
116.3008966,-8.896799857
116.3009346,-8.89686005
116.3009766,-8.896924054
116.3010144,-8.896985702
116.3010592,-8.897053516
116.3011065,-8.89711524
116.3011492,-8.897174806
116.3011944,-8.897238378
116.301248,-8.897309411
116.3013019,-8.897372734
116.3013417,-8.897432263
116.3013778,-8.897488319
116.3014146,-8.897542408
116.3014619,-8.897597642
116.3015011,-8.897667906
116.3015331,-8.897713783
116.3015688,-8.897769822
116.3016043,-8.897824341
116.3016426,-8.897876832
116.3016716,-8.897921615
116.3016991,-8.897957627
116.301731,-8.898001958
116.3017735,-8.898052518
116.3018005,-8.898094729
116.3018354,-8.898137223
116.3018758,-8.898177238
116.301902,-8.898213602
116.3019266,-8.89825018
116.3019578,-8.898281161
116.3019917,-8.898310099
116.3020428,-8.89835387
116.3020743,-8.898377253
116.3021086,-8.898407709
116.302141,-8.898436939
116.3021805,-8.898471023
116.3022337,-8.898505789
116.3022796,-8.898532829
116.3023357,-8.898559095
116.3023831,-8.898593681
116.3024366,-8.898628617
116.30249,-8.898654463
116.3025434,-8.898672662
116.3025851,-8.898685162
116.3026356,-8.898703761
116.3026862,-8.898722457
116.3027392,-8.898737718
116.3028025,-8.898751238
116.3028641,-8.898766467
116.3029318,-8.898777794
116.3029926,-8.898784249
116.3030542,-8.898786101
116.3031179,-8.898792094
116.3031803,-8.898801145
116.3032363,-8.898806845
116.3032957,-8.898805954
116.3033551,-8.898814114
116.3034051,-8.898820827
116.3034685,-8.898827002
116.3035185,-8.898842758
116.3035636,-8.898874429
116.303605,-8.898902235
116.303645,-8.898939403
116.3036909,-8.898966527
116.3037188,-8.898995185
116.3037455,-8.899034769
116.3037799,-8.899083799
116.3038063,-8.899138672
116.3038268,-8.899195905
116.3038449,-8.899256524
116.3038561,-8.899321762
116.3038605,-8.899392279
116.3038644,-8.899450699
116.3038693,-8.899505909
116.3038759,-8.899562236
116.3038825,-8.899618482
116.3038857,-8.899681421
116.3038912,-8.899740738
116.3038994,-8.899806026
116.3039035,-8.899865887
116.303905,-8.899927614
116.303908,-8.899989925
116.3039146,-8.90005535
116.3039222,-8.900108488
116.3039269,-8.900171154
116.3039345,-8.900233313
116.3039396,-8.900292249
116.3039442,-8.900354948
116.3039491,-8.900419322
116.3039545,-8.900486552
116.3039604,-8.900556609
116.3039668,-8.900620568
116.303975,-8.900677122
116.3039814,-8.900750181
116.3039883,-8.900816995
116.3039954,-8.900885347
116.304005,-8.90095036
116.3040124,-8.901020237
116.3040116,-8.901087031
116.3040151,-8.901143939
116.304016,-8.901202912
116.3040183,-8.901261648
116.3040264,-8.90130885
116.3040313,-8.901364196
116.3040282,-8.901417838
116.3040296,-8.901470682
116.3040217,-8.901521919
116.3040147,-8.901569925
116.3040043,-8.901617092
116.3039956,-8.901666749
116.3039764,-8.901724652
116.3039571,-8.90177338
116.3039325,-8.901819883
116.3038944,-8.901870254
116.3038581,-8.901911358
116.303823,-8.901940074
116.3037811,-8.901976245
116.3037363,-8.902011318
116.3036962,-8.902046974
116.3036552,-8.902078121
116.3036049,-8.902109344
116.3035571,-8.902137153
116.3034959,-8.902164508
116.3034451,-8.902192919
116.3033836,-8.902221608
116.3033293,-8.902245919
116.3032797,-8.902269443
116.3032293,-8.902288507
116.303176,-8.902308041
116.3031145,-8.902329272
116.3030617,-8.902351772
116.3030115,-8.902372375
116.3029467,-8.902396917
116.3028879,-8.90242036
116.3028187,-8.902445546
116.3027577,-8.902472479
116.3026981,-8.902499098
116.3026356,-8.902519776
116.3025617,-8.902548749
116.3024998,-8.902575318
116.3024448,-8.902604001
116.302398,-8.902628387
116.3023564,-8.902656651
116.302318,-8.902685936
116.3022709,-8.902719495
116.3022378,-8.902770956
116.3022148,-8.902817768
116.3022009,-8.902863021
116.3021892,-8.902912421
116.3021838,-8.902962377
116.302181,-8.903017987
116.302179,-8.903077947
116.3021753,-8.903136516
116.3021711,-8.903198589
116.3021655,-8.903255109
116.3021658,-8.90330912
116.3021647,-8.903364023
116.3021592,-8.903420735
116.3021553,-8.903478658
116.3021527,-8.903542297
116.3021486,-8.903605857
116.3021484,-8.903665728
116.302146,-8.903725822
116.3021435,-8.90378195
116.3021403,-8.903842707
116.3021337,-8.903900883
116.3021307,-8.903953815
116.3021281,-8.904009639
116.3021254,-8.904069582
116.3021209,-8.904124078
116.3021181,-8.904178642
116.3021153,-8.904233299
116.302114,-8.904278683
116.3021124,-8.904340592
116.3021145,-8.904395663
116.302114,-8.904446028
116.3021118,-8.904495821
116.3021107,-8.904543995
116.3021062,-8.904598898
116.3021007,-8.904655584
116.3021008,-8.904718861
116.3021003,-8.904779708
116.3020974,-8.904843533
116.302097,-8.904894969
116.3021,-8.904956483
116.3021021,-8.905022609
116.3021082,-8.905076025
116.3021181,-8.90513319
116.3021338,-8.905183858
116.3021638,-8.905231981
116.3022015,-8.905272577
116.3022414,-8.905309651
116.302289,-8.90533787
116.3023363,-8.905355596
116.3023926,-8.905362791
116.302456,-8.905355169
116.3025062,-8.905345243
116.3025583,-8.905327443
116.3026092,-8.905302291
116.3026545,-8.905279582
116.3027191,-8.905247695
116.302785,-8.905214097
116.3028347,-8.905183305
116.3028892,-8.905149639
116.3029479,-8.905121843
116.3030049,-8.905100833
116.3030603,-8.905079346
116.3031148,-8.905057183
116.3031641,-8.905030711
116.3032095,-8.905006261
116.3032434,-8.904977683
116.303294,-8.904940569
116.3033452,-8.904909417
116.3033963,-8.904878794
116.3034584,-8.904844511
116.3035107,-8.904813239
116.3035654,-8.904777007
116.3036223,-8.904744894
116.3036796,-8.904717113
116.3037234,-8.904691884
116.3037778,-8.904664873
116.3038275,-8.90463551
116.3038828,-8.90461118
116.3039334,-8.904586119
116.3039839,-8.904559562
116.3040414,-8.904530338
116.3040891,-8.904496703
116.3041339,-8.9044726
116.3041842,-8.904447856
116.3042329,-8.904421691
116.3042858,-8.904391692
116.3043291,-8.904367796
116.30438,-8.904344233
116.3044276,-8.904319701
116.3044815,-8.904295591
116.3045313,-8.90427368
116.3045771,-8.904246326
116.3046208,-8.904214814
116.3046663,-8.904186049
116.3047165,-8.904162407
116.304764,-8.904136278
116.304816,-8.904109478
116.3048582,-8.90408882
116.3049089,-8.904063742
116.3049598,-8.904031078
116.3050078,-8.903998877
116.305052,-8.903970323
116.305086,-8.903948489
116.3051316,-8.903922693
116.30517,-8.903896093
116.3051962,-8.903876554
116.3052318,-8.903857476
116.3052685,-8.903833155
116.3053008,-8.903806547
116.3053271,-8.903786991
116.3053577,-8.903762668
116.3053797,-8.903741802
116.3054047,-8.903720432
116.3054341,-8.903701622
116.3054663,-8.903675053
116.3055038,-8.903649605
116.3055321,-8.903623687
116.3055578,-8.903601203
116.3055893,-8.903575753
116.3056157,-8.903551128
116.3056437,-8.903529276
116.3056685,-8.903506935
116.3056973,-8.903476567
116.3057213,-8.903449364
